Subject,age,Gender,Edinburgh Handedness Inventory (EHI),FunImg,T1Img,age_group
31274,72,0,100.0,1,1,3
31275,44,0,100.0,1,1,1
31276,74,0,100.0,1,1,3
31277,60,0,100.0,1,1,2
31278,55,0,,1,1,2
31279,62,1,100.0,1,1,2
31280,65,0,100.0,1,1,2
31281,65,0,,1,1,2
31282,61,0,100.0,1,1,2
31283,58,0,100.0,1,1,2
31284,73,0,100.0,1,1,3
31285,54,1,,1,1,2
31286,76,1,100.0,1,1,3
31287,72,0,100.0,1,1,3
31288,53,0,100.0,1,1,2
31289,58,1,100.0,1,1,2
31290,53,0,,1,1,2
31291,45,0,,1,1,1
31292,49,0,100.0,1,1,2
31293,45,0,100.0,1,1,1
31294,48,0,100.0,1,1,2
31295,55,0,,1,1,2
31296,45,0,100.0,1,1,1
31297,56,0,100.0,1,1,2
31298,59,1,100.0,1,1,2
31299,61,1,100.0,1,1,2
31300,61,0,,1,1,2
31301,57,0,100.0,1,1,2
31302,56,0,100.0,1,1,2
31303,75,1,100.0,1,1,3
31304,71,1,100.0,1,1,3
31305,59,0,100.0,1,1,2
31306,56,0,100.0,1,1,2
31307,56,0,100.0,1,1,2
31308,61,1,,1,1,2
31309,62,1,,1,1,2
31310,60,0,,1,1,2
31311,63,1,,1,1,2
31312,74,1,100.0,1,1,3
31313,73,1,100.0,1,1,3
31314,61,1,,1,1,2
31315,52,1,,1,1,2
31316,74,0,,1,1,3
31317,77,1,,1,1,3
31318,76,1,,1,1,3
31319,77,0,,1,1,3
31320,74,0,100.0,1,1,3
31321,74,0,100.0,1,1,3
31322,80,1,100.0,1,1,3
31323,76,0,100.0,1,1,3
31324,57,0,,1,1,2
31325,57,0,,1,1,2
31326,56,0,100.0,1,1,2
31327,63,0,100.0,1,1,2
31328,68,0,100.0,1,1,3
31329,69,0,100.0,1,1,3
31330,68,1,100.0,1,1,3
31331,63,0,100.0,1,1,2
31332,73,1,100.0,1,1,3
31333,75,0,100.0,1,1,3
31334,59,0,100.0,1,1,2
31335,63,1,100.0,1,1,2
31336,51,0,100.0,1,1,2
31337,61,0,100.0,1,1,2
31338,57,0,100.0,1,1,2
31339,59,0,100.0,1,1,2
31340,74,1,100.0,1,1,3
31341,74,1,,1,1,3
31342,74,0,10.0,1,1,3
31343,70,1,100.0,1,1,3
31344,46,1,-14.2857142857143,1,1,2
31345,58,0,100.0,1,1,2
31346,58,0,100.0,1,1,2
31347,56,0,100.0,1,1,2
31348,60,0,100.0,1,1,2
31349,45,0,100.0,1,1,1
31350,65,1,100.0,1,1,2
31351,52,0,100.0,1,1,2
31352,68,1,100.0,1,1,3
31353,60,0,100.0,1,1,2
31354,56,0,100.0,1,1,2
31355,54,0,100.0,1,1,2
31356,50,0,100.0,1,1,2
31357,42,0,100.0,1,1,1
31358,49,0,100.0,1,1,2
31359,57,0,100.0,1,1,2
31360,61,0,100.0,1,1,2
31361,61,0,100.0,1,1,2
31362,62,0,100.0,1,1,2
31363,57,0,100.0,1,1,2
31364,66,0,,1,1,3
31365,72,0,100.0,1,1,3
31366,71,0,100.0,1,1,3
31367,60,1,100.0,1,1,2
31368,75,0,100.0,1,1,3
31369,55,0,100.0,1,1,2
31370,75,0,100.0,1,1,3
31371,53,1,-40.0,1,1,2
31372,54,0,100.0,1,1,2
31373,63,1,100.0,1,1,2
31374,63,0,100.0,1,1,2
31375,38,0,100.0,1,1,1
31376,49,0,100.0,1,1,2
31377,47,0,100.0,1,1,2
31378,62,0,100.0,1,1,2
31379,49,0,100.0,1,1,2
31380,73,0,100.0,1,1,3
31381,60,0,100.0,1,1,2
31382,59,1,100.0,1,1,2
31383,63,1,100.0,1,1,2
31384,60,1,100.0,1,1,2
31385,62,0,89.4736842105263,1,1,2
31386,57,0,80.0,1,1,2
31387,51,0,100.0,1,1,2
31388,57,1,100.0,1,1,2
31389,63,0,100.0,1,1,2
31390,64,1,100.0,1,1,2
31391,57,0,100.0,1,1,2
31392,62,1,100.0,1,1,2
31393,56,0,100.0,1,1,2
31394,68,1,100.0,1,1,3
31395,61,0,100.0,1,1,2
31396,64,1,100.0,1,1,2
31397,58,0,70.0,0,1,2
31398,56,1,100.0,1,1,2
31399,56,0,100.0,1,1,2
31400,62,0,100.0,1,1,2
31401,73,1,100.0,1,1,3
31402,57,1,100.0,1,1,2
31403,75,0,80.0,1,1,3
31404,75,0,100.0,1,1,3
31405,69,1,80.0,1,1,3
31406,60,0,80.0,1,1,2
31407,62,1,100.0,1,1,2
31408,58,0,100.0,1,1,2
31409,65,0,100.0,1,1,2
31410,51,0,100.0,1,1,2
31411,62,0,100.0,1,1,2
31412,63,1,52.3809523809524,1,1,2
31413,64,1,100.0,1,1,2
31414,63,0,80.0,1,1,2
31415,50,0,100.0,1,1,2
31416,59,0,100.0,1,1,2
31417,56,1,80.0,1,1,2
31418,71,0,100.0,1,1,3
31419,57,0,100.0,1,1,2
31420,55,1,100.0,1,1,2
31421,41,1,100.0,1,1,1
31422,69,1,100.0,1,1,3
31423,70,0,100.0,1,1,3
31424,74,0,80.0,1,1,3
31425,59,0,100.0,1,1,2
31426,54,0,100.0,1,1,2
31427,77,1,-10.0,1,1,3
31428,73,0,100.0,1,1,3
31429,78,1,100.0,1,1,3
31430,77,0,100.0,1,1,3
31431,58,1,100.0,1,1,2
31432,45,0,100.0,1,1,1
31433,59,1,80.9523809523809,1,1,2
31434,59,0,100.0,1,1,2
31435,66,0,100.0,1,1,3
31436,51,0,80.0,1,1,2
31437,30,0,50.0,1,1,1
31438,57,0,100.0,1,1,2
31439,49,0,100.0,1,1,2
31440,61,0,100.0,1,1,2
31441,75,0,100.0,1,1,3
31442,48,0,100.0,1,1,2
31443,72,0,100.0,1,1,3
31444,75,1,100.0,1,1,3
31445,68,0,100.0,1,1,3
31446,57,0,100.0,1,1,2
31447,57,1,100.0,1,1,2
31448,60,0,100.0,1,1,2
31449,62,0,100.0,1,1,2
31450,66,1,100.0,1,1,3
31451,59,0,30.0,1,1,2
31452,57,0,100.0,1,1,2
31453,49,0,50.0,1,1,2
31454,53,0,80.0,1,1,2
31455,59,0,100.0,1,1,2
31456,60,1,100.0,1,1,2
31457,34,0,100.0,1,1,1
31458,44,0,100.0,1,1,1
31459,66,0,100.0,1,1,3
31460,78,0,,1,1,3
31461,62,0,100.0,1,1,2
31462,69,0,100.0,1,1,3
31463,51,0,100.0,1,1,2
31464,56,0,100.0,1,1,2
31465,24,1,,1,1,1
31466,23,0,,1,1,1
31467,24,1,,1,1,1
31468,22,1,,1,1,1
31469,22,1,,1,1,1
31470,22,0,,1,1,1
31471,23,0,,1,1,1
31472,23,1,,1,1,1
31473,20,1,,1,1,1
31474,24,0,,1,1,1
31475,21,0,,1,1,1
31476,23,1,,1,1,1
31477,27,0,,1,1,1
31478,22,0,,1,1,1
31479,54,0,,1,1,2
31480,45,0,,1,1,1
31481,21,1,,1,1,1
31482,50,0,,1,1,2
31483,55,1,,1,1,2
31484,61,1,,1,1,2
31485,30,1,,1,1,1
31486,44,1,,1,1,1
31487,27,1,,1,1,1
31488,41,1,,1,1,1
31489,41,0,,1,1,1
31490,27,1,,1,1,1
31491,47,0,,1,1,2
31492,58,1,,1,1,2
31493,35,1,,1,1,1
31494,53,1,,1,1,2
31495,45,0,,1,1,1
31496,48,0,,1,1,2
31497,61,0,,1,1,2
31498,33,1,,1,1,1
31499,52,1,,1,1,2
31500,48,1,,1,1,2
31501,26,0,,1,1,1
31502,25,0,,1,1,1
31503,25,0,,1,1,1
31504,46,0,,1,1,2
31505,59,0,,1,1,2
31506,27,0,,1,1,1
31507,50,0,,1,1,2
31508,33,1,,1,1,1
31509,26,0,,1,1,1
31510,27,0,,1,1,1
31511,51,1,,1,1,2
31512,56,1,,1,1,2
31513,49,1,,1,1,2
31514,50,1,,1,1,2
31515,25,0,,1,1,1
31516,29,1,,1,1,1
31517,31,1,,1,1,1
31518,30,1,,1,1,1
31519,30,0,,1,1,1
31520,30,1,,1,1,1
31521,29,1,,1,1,1
31522,37,0,,1,1,1
31523,27,0,,1,1,1
31524,27,1,,1,1,1
31525,47,0,,1,1,2
31526,46,0,,1,1,2
31527,23,1,,1,1,1
31528,45,0,,1,1,1
31529,30,1,,1,1,1
31530,47,0,,1,1,2
31531,56,1,,1,1,2
31532,52,0,,1,1,2
31533,30,0,,1,1,1
31534,32,0,,1,1,1
31535,42,0,,1,1,1
31536,47,1,,1,1,2
31537,51,1,,1,1,2
31538,50,0,,1,1,2
31539,54,0,,1,1,2
31540,26,0,,1,1,1
31541,44,1,,1,1,1
31542,44,1,,1,1,1
31543,19,0,,1,1,1
31544,50,0,,1,1,2
31545,40,1,,1,1,1
31546,38,1,,1,1,1
31547,38,0,,1,1,1
31548,42,0,,1,1,1
31549,47,1,,1,1,2
31550,48,1,,1,1,2
31551,23,1,,1,1,1
31552,24,1,,1,1,1
31553,22,0,,1,1,1
31554,23,0,,1,1,1
31555,39,1,,1,1,1
31556,25,1,,1,1,1
31557,40,1,,1,1,1
31558,46,0,,1,1,2
31559,22,1,,1,1,1
31560,42,1,,1,1,1
31561,40,1,,1,1,1
31562,21,0,,1,1,1
31563,21,0,,1,1,1
31564,23,0,,1,1,1
31565,25,1,,1,1,1
31566,19,0,,1,1,1
31567,23,1,,1,1,1
31568,21,0,,1,1,1
31569,22,0,,1,1,1
31570,20,0,,1,1,1
31571,23,0,,1,1,1
31572,20,0,,1,1,1
31573,22,0,,1,1,1
31574,23,1,,1,1,1
31575,21,1,,1,1,1
31576,21,1,,1,1,1
31577,49,0,,1,1,2
